@relation PcaEdb

@attribute WeekendActivity numeric
@attribute MesseginActivity numeric
@attribute QuestionActivity numeric
@attribute HomeworkActivity numeric
@attribute TestingActivity numeric

@data
-5.111475,0.478271,1.571459,0.842628,0.212991
-0.755526,-0.259085,0.167404,0.174475,0.128701
-0.005194,-0.103634,0.813425,-0.121601,0.005126
-0.007393,-0.251989,1.858359,0.983924,-0.149859
0.410454,-0.197275,-0.005857,-0.238136,-0.27398
1.523303,-0.229475,-0.361146,0.321001,-0.429221
0.269898,-0.284038,-0.550544,0.114655,-0.177458
0.172844,-0.223764,-0.460284,0.646579,-0.501955
0.390356,0.006593,-0.021244,-0.349604,-0.045416
-0.050002,-0.21467,-0.028325,0.329009,-0.029365
1.700808,-0.377328,-0.063732,-0.374937,-0.906572
0.022349,-0.254477,-0.419756,-0.162135,-0.16539
