@relation litere

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute WEEKENDPCT numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute GENDER numeric
@attribute AGE numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric

@data
0,0,0,0,0,0,0,0,0,13,10,0,328,302,225,0,22,146,67,45,0,0,0
66,17,9,9,11,6,8,6,0.269231,15,3,168,518,397,69,1,42,146,67,45,6,0,0
0,0,0,0,0,0,0,0,0,0,10,0,328,0,225,0,41,146,67,45,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,328,0,225,1,25,146,67,45,0,0,0
0,0,0,0,0,0,0,0,0,7,13,53,383,173,331,1,32,61,17,27,0,0,0
100,17,21,15,12,16,9,10,0.234568,1,8,0,201,103,278,1,27,61,17,27,0,0,0
226,35,36,26,25,26,27,51,0.527027,0,2,0,218,0,43,0,26,61,17,27,0,0,0
3,1,0,1,1,0,0,0,0,44,14,152,267,1362,338,0,28,146,67,45,0,0,0
82,7,13,12,16,13,12,9,0.344262,202,14,245,384,4962,389,1,32,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,16,10,0,328,352,225,0,23,146,67,45,0,0,0
16,2,1,3,1,6,1,2,0.230769,0,10,0,328,0,225,0,23,146,67,45,6,0,0
157,22,26,31,32,21,10,15,0.189394,2509,27,169,292,52781,621,0,25,61,17,27,0,0,0
43,11,6,9,8,1,7,1,0.228571,0,11,0,377,0,277,0,26,61,17,27,0,0,0
11,5,2,0,1,1,1,1,0.222222,0,7,0,74,0,165,1,30,1407,890,63,0,0,0
108,20,18,16,15,14,14,11,0.301205,10,6,254,220,313,182,0,31,61,17,27,0,0,0
322,58,55,56,54,33,32,34,0.257813,12,11,198,237,625,531,0,22,61,17,27,0,0,0
91,11,12,14,12,14,13,15,0.444444,20,13,85,383,439,331,0,23,61,17,27,0,0,0
60,10,12,8,11,7,10,2,0.25,0,13,0,383,0,331,1,31,61,17,27,0,0,0
89,10,27,13,18,16,1,4,0.059524,12,12,132,346,388,274,1,23,146,67,45,26,1.538462,0.952381
3,0,0,1,1,1,0,0,0,0,13,0,383,0,331,1,23,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,328,0,225,1,30,146,67,45,0,0,0
11,1,3,0,1,1,2,3,0.833333,0,9,0,277,0,183,1,24,146,67,45,0,0,0
41,2,5,7,13,2,9,3,0.413793,0,13,0,383,0,331,0,23,61,17,27,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,268,0,222,0,27,72,9,12,0,0,0
2,0,0,1,1,0,0,0,0,0,11,0,333,0,260,1,31,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,222,0,260,1,26,33,4,12,0,0,0
45,2,7,12,13,3,4,4,0.216216,0,12,0,389,0,284,0,26,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,194,0,260,1,28,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,331,0,260,1,28,33,4,12,0,0,0
2,1,0,1,0,0,0,0,0,0,11,0,383,0,261,1,29,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,361,0,242,1,42,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,282,0,218,1,29,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,282,0,218,1,27,33,4,12,0,0,0
19,1,3,1,2,6,3,3,0.461538,38,11,3,361,912,242,1,24,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,0,12,0,389,0,284,0,34,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,282,0,218,1,34,33,4,12,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,306,0,204,1,23,33,4,12,0,0,0
4,0,1,1,0,1,1,0,0.333333,0,11,0,361,0,242,1,47,184,62,33,0,0,0
3,1,1,1,0,0,0,0,0,0,10,0,385,0,228,1,38,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,361,0,242,0,31,184,62,33,0,0,0
2,2,0,0,0,0,0,0,0,0,11,0,399,0,249,0,34,184,62,33,0,0,0
2,0,0,2,0,0,0,0,0,0,11,0,399,0,249,0,30,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,292,0,247,1,36,2,0,0,0,0,0
65,13,9,14,14,9,1,5,0.101695,5,11,0,399,115,249,1,29,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,345,0,225,1,33,33,4,12,0,0,0
27,2,7,5,3,7,3,0,0.125,2,11,0,399,62,249,0,31,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,274,0,225,0,41,33,4,12,0,0,0
41,1,14,9,8,5,2,2,0.108108,0,10,0,397,0,226,0,23,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,10,0,345,0,225,1,36,33,4,12,0,0,0
1,0,0,1,0,0,0,0,0,1,12,0,382,12,261,0,22,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,12,0,389,0,284,1,22,184,62,33,0,0,0
3,0,0,1,0,1,1,0,0.5,0,12,0,389,0,284,1,22,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,0,12,0,389,0,284,0,23,184,62,33,0,0,0
11,3,3,2,0,3,0,0,0,7,12,0,389,182,284,0,23,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,0,12,0,389,0,284,1,28,184,62,33,0,0,0
129,25,24,24,18,16,10,12,0.205607,0,12,0,389,0,284,0,48,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,333,0,260,0,26,33,4,12,0,0,0
2,0,1,1,0,0,0,0,0,0,12,0,389,0,284,1,24,184,62,33,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,333,0,260,0,35,33,4,12,0,0,0
5,2,1,2,0,0,0,0,0,0,12,0,389,0,284,0,49,184,62,33,0,0,0
3,0,1,1,0,1,0,0,0,0,11,0,399,0,249,0,26,184,62,33,0,0,0
74,6,5,16,16,12,16,3,0.345455,16,15,192,409,356,346,0,44,442,182,41,0,0,0
45,5,3,5,10,6,7,9,0.551724,0,12,0,380,0,274,1,29,442,182,41,0,0,0
50,1,2,5,6,12,12,12,0.923077,4,7,4,397,88,132,1,27,442,182,41,0,0,0
7,0,0,1,1,2,2,1,0.75,0,12,0,380,0,274,1,24,442,182,41,0,0,0
150,32,26,25,18,18,18,13,0.260504,1572,6,1,276,22045,121,0,24,442,182,41,0,0,0
72,9,7,9,12,11,10,14,0.5,8,13,-42,357,176,294,1,28,442,182,41,0,0,0
5,0,1,1,0,0,3,0,1.5,0,12,0,354,0,274,1,22,442,182,41,0,0,0
245,26,33,49,33,24,46,34,0.484848,0,10,0,300,0,205,0,50,442,182,41,0,0,0
0,0,0,0,0,0,0,0,0,6,11,0,366,138,238,1,25,389,132,33,0,0,0
0,0,0,0,0,0,0,0,0,20,8,-2,379,474,156,1,34,389,132,33,0,0,0
2,0,0,0,0,1,1,0,1,0,2,0,0,0,39,0,22,389,132,33,0,0,0
224,46,37,39,53,17,21,11,0.166667,0,14,0,414,0,288,0,44,442,182,41,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,72,9,12,0,0,0
18,2,1,4,2,0,6,3,1,8,6,0,359,184,160,1,34,442,182,41,0,0,0
170,22,40,39,26,32,9,2,0.069182,0,13,0,408,0,262,0,42,442,182,41,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27,72,9,12,0,0,0
15,1,0,1,0,1,9,3,4,0,12,0,376,0,274,1,28,442,182,41,0,0,0
61,6,13,9,9,9,7,8,0.326087,0,12,0,376,0,274,0,30,442,182,41,0,0,0
50,4,7,5,5,10,14,5,0.612903,5,14,0,357,115,301,1,48,442,182,41,0,0,0
34,4,4,4,5,8,5,4,0.36,1,8,0,282,16,190,1,40,442,182,41,0,0,0
11,0,0,1,3,3,3,1,0.571429,0,12,0,376,0,274,1,23,442,182,41,0,0,0
2,0,0,1,0,0,1,0,1,0,12,0,376,0,274,1,45,442,182,41,0,0,0
5,0,1,1,1,2,0,0,0,0,12,0,365,0,274,0,24,442,182,41,0,0,0
38,4,1,6,5,10,6,6,0.461538,0,10,0,316,0,235,0,23,442,182,41,0,0,0
3,0,0,2,0,0,1,0,0.5,0,10,0,316,0,235,1,32,442,182,41,0,0,0
12,2,1,1,0,2,4,2,1,0,3,0,470,0,79,0,38,442,182,41,0,0,0
19,2,4,2,3,3,1,4,0.357143,0,10,0,316,0,235,1,23,442,182,41,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,442,182,41,0,0,0
2,0,0,1,0,1,0,0,0,0,10,0,316,0,235,1,25,442,182,41,0,0,0
15,1,0,3,2,0,8,1,1.5,8,12,0,347,176,272,1,25,442,182,41,0,0,0
1,0,0,1,0,0,0,0,0,0,10,0,316,0,235,1,22,442,182,41,0,0,0
193,21,40,36,20,30,18,28,0.312925,0,4,0,564,0,61,0,40,442,182,41,0,0,0
8,0,0,2,0,5,1,0,0.142857,0,9,0,261,0,193,1,48,442,182,41,0,0,0
11,1,2,3,1,0,3,1,0.571429,0,10,0,316,0,235,0,34,442,182,41,0,0,0
273,42,47,40,41,27,44,32,0.385787,1,3,0,454,11,26,1,41,442,182,41,0,0,0
45,9,3,7,7,6,7,6,0.40625,30,7,47,84,624,134,1,37,442,182,41,0,0,0
54,7,3,11,8,5,10,10,0.588235,0,9,0,261,0,193,1,24,442,182,41,0,0,0
23,2,0,2,4,4,8,3,0.916667,0,9,0,336,0,221,1,26,442,182,41,0,0,0
42,1,2,22,8,3,2,4,0.166667,0,0,0,0,0,0,1,26,442,182,41,0,0,0
61,4,5,7,5,21,12,7,0.452381,0,9,0,261,0,193,0,25,442,182,41,0,0,0
36,0,3,7,3,3,15,5,1.25,0,10,0,316,0,235,1,27,442,182,41,0,0,0
131,12,18,21,16,16,29,19,0.578313,32,10,4,412,728,206,0,38,442,182,41,0,0,0
58,0,3,11,9,15,12,8,0.526316,6,10,184,316,139,235,1,29,442,182,41,0,0,0
71,8,20,7,11,5,8,12,0.392157,0,3,0,470,0,79,1,30,442,182,41,0,0,0
41,2,0,3,4,4,22,6,2.153846,9,9,0,261,207,193,0,22,442,182,41,0,0,0
7,0,1,1,2,3,0,0,0,0,10,0,344,0,196,1,47,389,132,33,0,0,0
153,16,19,13,15,15,25,50,0.961538,4,4,468,564,142,64,1,35,442,182,41,0,0,0
0,0,0,0,0,0,0,0,0,5,17,0,333,140,389,0,88,1379,1080,78,0,0,0
0,0,0,0,0,0,0,0,0,0,4,0,126,0,126,0,29,146,67,45,0,0,0
198,23,25,26,23,33,28,40,0.523077,0,11,0,356,0,197,0,44,1379,1080,78,0,0,0
214,32,42,37,30,29,27,17,0.258824,3,5,205,258,67,140,0,51,61,17,27,0,0,0
26,4,0,1,0,12,7,2,0.529412,0,3,0,434,0,70,1,32,184,62,33,0,0,0
1,0,0,1,0,0,0,0,0,0,6,0,379,0,155,0,17,184,62,33,0,0,0
52,8,12,5,11,7,5,4,0.209302,34,7,162,16,918,176,1,31,1407,890,63,16,0,0
277,41,46,27,40,39,45,39,0.435233,19,11,62,114,534,241,1,31,1407,890,63,28,0.392857,0.366667
68,12,12,10,16,9,5,4,0.152542,41,8,70,126,1150,202,0,25,1407,890,63,0,0,0
14,1,2,1,2,4,1,3,0.4,0,7,0,71,0,167,0,21,1407,890,63,0,0,0
18,0,0,7,6,2,2,1,0.2,13,5,0,20,277,114,0,24,1407,890,63,0,0,0
40,10,9,2,4,10,2,3,0.142857,0,7,0,44,0,176,0,22,1407,890,63,0,0,0
10,1,5,0,2,1,0,1,0.111111,7,7,0,27,175,167,0,23,1407,890,63,0,0,0
9,1,2,3,0,3,0,0,0,30,7,191,185,794,167,0,22,1407,890,63,0,0,0
67,8,13,11,12,8,7,8,0.288462,0,8,0,43,0,143,1,21,1407,890,63,24,0.333333,0.266667
61,8,4,6,18,13,4,8,0.244898,6,4,0,18,162,76,0,21,1407,890,63,0,0,0
89,9,14,8,10,19,9,20,0.483333,0,4,0,18,0,76,0,22,1407,890,63,0,0,0
164,36,26,17,27,27,18,13,0.233083,2,9,91,138,169,225,0,25,1407,890,63,24,0.375,0.3
10,2,1,2,2,1,1,1,0.25,29,6,0,215,783,126,0,22,1407,890,63,0,0,0
85,19,9,12,6,16,11,12,0.370968,24,4,0,25,600,77,0,22,1407,890,63,8,0,0
174,39,36,19,22,16,21,21,0.318182,10,8,11,109,318,144,0,22,1407,890,63,22,0.818182,0.6
46,9,13,7,4,6,5,2,0.179487,0,6,0,215,0,126,0,26,1407,890,63,14,0,0
29,3,12,1,3,7,2,1,0.115385,0,6,0,215,0,126,1,22,1407,890,63,0,0,0
246,73,32,39,32,34,12,24,0.171429,2,4,0,-12,75,96,0,48,1407,890,63,28,0.517857,0.483333
105,21,14,9,17,16,16,12,0.363636,113,11,79,109,3847,384,1,30,1407,890,63,24,0.6875,0.55
111,24,21,10,14,15,19,8,0.321429,0,9,0,52,0,179,1,28,1407,890,63,18,0.777778,0.466667
152,25,30,23,14,15,31,14,0.420561,0,8,0,109,0,144,0,22,1407,890,63,30,0.3,0.3
214,26,23,21,30,40,40,34,0.528571,1,8,0,17,31,188,0,23,1407,890,63,24,0.4375,0.35
16,5,2,1,2,1,1,4,0.454545,0,6,0,215,0,126,0,22,1407,890,63,0,0,0
94,11,11,9,15,16,20,12,0.516129,18,6,48,215,463,126,0,21,1407,890,63,6,0,0
60,10,5,13,13,4,9,6,0.333333,33,7,38,16,735,118,1,22,1407,890,63,22,0.454545,0.333333
45,9,6,5,10,8,2,5,0.184211,11,3,0,218,284,75,1,39,146,67,45,0,0,0
65,2,8,10,11,17,11,6,0.354167,0,1,0,0,0,26,0,23,146,67,45,6,0,0
50,4,5,9,7,10,9,6,0.428571,18,4,65,165,569,97,0,21,146,67,45,0,0,0
10,0,3,0,6,1,0,0,0,0,3,0,218,0,75,1,32,146,67,45,4,0,0
133,21,14,19,26,18,16,19,0.357143,50,3,85,218,1206,75,1,24,146,67,45,6,0,0
63,15,13,7,12,6,8,2,0.188679,22,4,129,167,529,103,0,30,146,67,45,26,0,0
55,11,6,8,3,12,8,7,0.375,20,3,0,218,500,75,1,39,146,67,45,14,0,0
66,17,15,14,5,4,6,5,0.2,0,3,0,218,0,75,0,32,146,67,45,6,0,0
135,16,28,17,22,22,14,16,0.285714,6,4,0,3,208,117,1,21,146,67,45,6,0,0
32,2,4,4,10,6,2,4,0.230769,0,1,0,0,0,26,1,22,146,67,45,2,0,0
50,11,8,7,3,4,8,9,0.515152,0,3,0,218,0,75,1,39,146,67,45,2,0,0
10,1,3,2,0,1,0,3,0.428571,0,3,0,218,0,75,1,32,146,67,45,0,0,0
47,7,6,5,11,3,13,2,0.46875,23,2,143,90,530,57,0,23,146,67,45,8,0,0
246,38,65,34,37,23,25,24,0.248731,9,8,104,116,333,236,0,33,146,67,45,28,0.714286,0.47619
52,5,5,9,10,10,10,3,0.333333,41,2,18,328,1019,52,1,30,146,67,45,0,0,0
54,9,4,7,7,15,5,7,0.285714,0,4,0,197,0,117,1,26,146,67,45,4,0,0
6,1,0,3,2,0,0,0,0,40,4,0,197,880,117,0,22,146,67,45,0,0,0
2,0,0,0,0,2,0,0,0,8,4,0,197,200,117,0,21,146,67,45,0,0,0
187,31,31,20,17,26,34,28,0.496,15,4,243,197,688,117,0,31,146,67,45,4,0,0
59,11,11,6,3,4,15,9,0.685714,8,5,0,211,184,140,1,34,146,67,45,10,0,0
9,3,1,2,2,0,1,0,0.125,0,3,0,218,0,75,0,22,146,67,45,0,0,0
59,11,10,7,4,12,10,5,0.340909,0,3,0,218,0,75,1,23,146,67,45,0,0,0
69,7,9,16,7,15,12,3,0.277778,0,3,0,218,0,75,1,34,146,67,45,12,0,0
25,5,5,5,3,3,3,1,0.190476,6,4,0,197,132,117,0,24,146,67,45,0,0,0
31,7,4,4,9,6,0,1,0.033333,0,3,0,218,0,75,1,25,146,67,45,0,0,0
