@relation edb-weka.filters.unsupervised.attribute.Remove-R34-35-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C24-Lfirst-last

@attribute TOTALSES numeric
@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute WEEKENDPCT numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute GENDER numeric
@attribute AGE numeric
@attribute TOTALQUEST numeric
@attribute GOODQUEST numeric
@attribute QUESTPERC numeric
@attribute TOTALHW numeric
@attribute MEAN_TOTALHW_GRADE numeric
@attribute MEAN_HOMEWORKS_GRADE numeric
@attribute NumberOfSessions numeric
@attribute NumberOfTests numeric
@attribute PassedTests numeric

@data
49,15,8,6,7,1,5,7,0.324324,15,5,3,245,408,219,0,27,0,290,0,8,0,0,13,3,1
83,11,11,14,14,11,7,15,0.360656,1,5,0,226,24,204,0,46,26,290,1115,14,0,0,33,100,71
64,13,6,4,8,8,16,9,0.641026,627,0,5,0,45383,0,0,35,0,290,0,0,0,0,24,0,0
33,5,2,5,7,7,4,3,0.269231,10,2,48,25,270,123,0,29,0,290,0,2,0,0,5,32,31
43,8,6,6,0,5,6,12,0.72,0,4,0,271,0,168,0,23,18,290,1611,0,0,0,8,25,11
24,6,1,6,1,7,2,1,0.142857,16,6,113,218,424,231,1,21,0,290,0,0,0,0,2,11,6
15,3,0,2,3,2,3,2,0.5,7,3,0,285,182,152,0,22,0,290,0,0,0,0,3,2,0
111,18,15,13,6,18,17,24,0.585714,1,4,0,252,31,159,1,50,0,290,0,12,0,0,43,49,28
11,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,223,0,0,0,0,6,0,0
159,32,36,29,33,26,2,1,0.019231,3,5,83,239,125,277,1,50,209,223,106,6,0,0,41,592,491
42,10,7,2,10,8,3,2,0.135135,4,6,9,239,346,239,0,30,0,223,0,0,0,0,2,2,0
7,0,3,1,0,1,2,0,0.4,0,4,0,214,0,172,0,33,0,223,0,0,0,0,2,2,0
59,8,9,16,2,8,5,11,0.372093,0,7,0,233,0,269,0,21,0,223,0,0,0,0,6,0,0
66,15,9,5,8,16,8,5,0.245283,0,3,0,16,0,141,1,56,3,223,7433,6,0,0,22,15,2
17,2,2,4,3,3,3,0,0.214286,7,6,96,247,234,230,0,20,9,223,2477,0,0,0,1,150,64
18,0,5,1,2,4,3,3,0.5,0,5,0,240,0,213,1,39,0,223,0,0,0,0,1,0,0
24,12,4,0,3,3,0,2,0.090909,0,5,0,240,0,196,0,26,0,223,0,0,0,0,2,2,0
57,4,10,14,9,7,5,8,0.295455,0,0,0,0,0,0,1,34,0,223,0,0,0,0,3,6,3
54,16,12,4,5,3,14,0,0.35,0,4,0,197,0,171,0,38,1,0,0,0,0,0,2,1,0
10,3,2,2,0,2,0,1,0.111111,9,4,0,197,224,171,0,59,0,0,0,0,0,0,2,0,0
82,17,24,12,15,13,0,1,0.012346,0,4,0,197,0,171,0,33,0,0,0,0,0,0,22,5,0
19,1,0,0,1,2,7,8,3.75,0,3,0,263,0,153,1,28,0,0,0,0,0,0,1,0,0
8,0,1,3,1,0,0,3,0.6,0,3,0,263,0,153,0,42,0,0,0,0,0,0,1,10,1
18,5,4,1,3,0,3,2,0.384615,0,3,0,263,0,153,1,49,0,0,0,2,0,0,9,0,0
2,0,1,0,0,0,0,1,1,0,3,0,263,0,153,1,45,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,2,0,0,0,3,0,263,0,153,0,47,0,0,0,0,0,0,1,0,0
14,4,1,0,6,1,2,0,0.166667,0,3,0,263,0,153,1,50,0,0,0,0,0,0,5,7,2
22,5,1,3,3,4,5,1,0.375,0,3,0,16,0,141,0,40,0,7,0,0,0,0,1,0,0
10,0,2,0,0,0,4,4,4,0,3,0,16,0,141,0,40,0,460,0,0,0,0,1,0,0
2,0,0,2,0,0,0,0,0,0,3,0,16,0,141,0,29,0,460,0,0,0,0,2,0,0
12,0,1,2,0,3,5,1,1,0,1,0,0,0,75,0,30,0,460,0,0,0,0,6,0,0
20,2,4,4,4,2,3,1,0.25,0,0,0,0,0,0,1,21,1,460,46000,0,0,0,1,1,1
48,9,7,4,7,4,3,14,0.548387,0,3,0,16,0,152,1,36,16,460,2875,4,0,0,7,16,11
79,17,30,11,9,2,5,5,0.144928,73,2,13,25,1908,123,1,32,20,460,2300,16,0,0,4,21,8
21,4,2,3,4,7,0,1,0.05,0,2,0,25,0,123,1,54,0,460,0,6,0,0,1,0,0
13,2,2,0,1,3,3,2,0.625,0,2,0,25,0,123,0,36,0,460,0,0,0,0,5,0,0
51,17,13,4,5,3,5,4,0.214286,0,2,0,25,0,123,0,43,4,460,11500,0,0,0,5,4,0
57,10,8,6,12,9,5,7,0.266667,307,1,0,0,5526,75,1,21,0,460,0,0,0,0,19,0,0
159,35,30,21,8,23,27,15,0.358974,8,3,0,16,224,141,0,39,45,460,1022,2,0,0,13,45,26
11,2,2,1,2,2,0,2,0.222222,0,3,0,16,0,141,0,26,0,460,0,4,0,0,3,0,0
22,2,1,1,4,4,10,0,0.833333,7,3,0,16,182,141,1,23,27,460,1703,0,0,0,5,27,19
29,5,3,3,6,5,7,0,0.318182,0,3,0,16,0,141,0,51,33,460,1393,0,0,0,1,33,31
50,8,5,11,4,3,15,4,0.612903,0,3,0,16,0,141,1,29,0,460,0,0,0,0,3,0,0
7,0,1,0,0,1,5,0,2.5,0,3,0,16,0,141,1,20,1,460,46000,0,0,0,1,1,0
21,2,6,4,3,2,2,2,0.235294,0,3,0,16,0,141,0,32,21,460,2190,0,0,0,2,21,15
42,6,7,4,9,6,4,6,0.3125,0,3,0,16,0,141,0,44,26,460,1769,0,0,0,5,26,10
44,10,6,6,2,5,11,4,0.517241,0,3,0,16,0,141,0,20,4,460,11500,0,0,0,3,4,1
127,21,23,18,13,23,22,7,0.295918,7,0,0,0,175,0,0,29,51,460,901,12,0,0,16,51,30
17,2,1,8,4,1,1,0,0.0625,0,3,0,16,0,141,0,27,1,460,46000,0,0,0,2,1,0
46,4,5,6,2,12,13,4,0.586207,0,3,0,16,0,141,0,21,3,460,15333,0,0,0,8,3,0
14,5,1,3,4,1,0,0,0,0,3,0,16,0,141,0,49,0,0,0,4,0,0,2,0,0
25,4,3,0,0,6,3,9,0.923077,0,3,0,16,0,141,1,46,0,0,0,0,0,0,1,0,0
21,1,2,10,1,1,4,2,0.4,0,3,0,16,0,141,0,24,0,0,0,4,0,0,1,0,0
37,4,7,5,12,6,2,1,0.088235,0,3,0,16,0,141,0,34,0,0,0,4,0,0,3,0,0
22,3,1,11,7,0,0,0,0,9,3,0,16,216,141,0,24,0,0,0,4,0,0,2,0,0
16,3,4,2,0,4,3,0,0.230769,25,3,-5,16,566,141,1,45,0,0,0,4,0,0,2,0,0
27,3,3,4,3,3,8,3,0.6875,0,3,0,16,0,141,1,25,0,994,0,0,0,0,1,0,0
19,3,0,5,0,1,5,5,1.111111,0,3,0,16,0,141,1,30,0,994,0,0,0,0,4,0,0
7,0,0,5,1,0,1,0,0.166667,8,3,0,16,184,141,1,35,0,994,0,0,0,0,2,0,0
36,11,5,16,1,3,0,0,0,0,3,0,16,0,141,0,26,1,994,99400,6,0,0,2,1,0
32,4,8,1,4,13,2,0,0.066667,0,3,0,16,0,141,0,39,0,994,0,4,0,0,5,0,0
62,15,13,12,8,6,4,4,0.148148,0,3,0,16,0,141,0,22,106,994,937,0,0,0,10,107,56
54,9,9,7,8,4,8,9,0.459459,0,0,0,0,0,0,0,25,0,994,0,4,0,0,8,0,0
153,25,39,20,4,10,14,41,0.561224,8,4,5,14,416,280,1,26,430,994,231,10,0,0,4,431,391
70,16,9,12,6,10,9,8,0.320755,0,3,0,16,0,141,1,27,13,994,7646,4,0,0,10,13,8
48,14,2,6,1,1,7,17,1,0,3,0,16,0,141,0,52,30,994,3313,0,0,0,6,30,24
58,11,16,2,3,6,14,6,0.526316,36,3,9,16,787,141,0,21,2,994,49700,16,0,0,7,2,0
24,7,0,5,7,0,5,0,0.263158,16,3,0,16,368,141,0,33,11,72,654,0,0,0,1,13,1
17,3,3,1,1,0,3,6,1.125,0,3,0,16,0,141,1,48,0,72,0,10,0,0,2,0,0
38,3,4,11,2,3,11,4,0.652174,1,3,0,16,43,141,0,27,11,72,654,4,0,0,2,11,5
37,2,5,6,7,5,5,7,0.48,8,3,0,16,48,141,0,29,0,72,0,8,0,0,3,0,0
29,0,3,1,0,16,9,0,0.45,0,4,0,40,0,147,0,45,0,72,0,0,0,0,1,0,0
45,8,9,4,6,7,5,6,0.323529,0,3,0,16,0,141,0,38,0,72,0,4,0,0,3,0,0
10,6,0,0,0,0,3,1,0.666667,0,2,0,25,0,123,1,40,0,72,0,0,0,0,2,0,0
35,5,3,6,4,5,7,5,0.521739,0,2,0,25,0,123,0,27,3,106,3533,0,0,0,6,3,3
