@relation PcaEdbV2

@attribute WeekendActivity numeric
@attribute MesseginActivity numeric
@attribute TestingActivity numeric

@data
-0.998154,0.655035,2.256842
-3.06427,1.406008,1.882703
0.530963,1.406008,-0.341179
-3.982415,-5.526315,-0.332821
0.261005,1.406008,0.42182
0.821315,1.886779,-0.345214
0.502503,-0.259085,-0.357153
-1.199552,-1.969414,-0.210322
-5.195668,-0.678782,1.312344
-2.64795,0.735944,3.180611
0.837431,0.816883,-0.341179
0.587996,0.466512,-0.357153
0.046852,0.691611,-0.330528
-2.534458,-0.087109,-0.343471
0.485363,0.466512,-0.346503
-2.573334,-0.09613,-0.351828
-2.220661,1.434557,-0.274412
-0.052013,0.973332,-0.351828
0.22351,0.73001,-0.346503
-0.2845,-0.104437,-0.183217
0.561472,-0.035923,-0.341179
1.16576,-0.259085,-0.295809
0.108296,2.371996,0.10928
1.261053,-0.034589,-0.357153
0.972182,0.73001,-0.357153
0.789886,0.598778,-0.329239
0.519529,-1.250614,-0.302424
1.085356,0.357126,-0.357153
1.526726,0.357126,-0.351828
0.556109,-0.614254,-0.357153
0.17785,0.357126,-0.346503
1.406896,0.357126,-0.357153
0.585951,-0.614254,-0.357153
-1.019739,1.094971,-0.357153
1.087947,0.007748,-0.357153
0.312596,0.73001,-0.357153
1.243959,-0.259085,-0.351828
0.894637,-0.259085,-0.316106
0.919474,0.357126,-0.357153
-6.920808,0.357126,0.918189
-1.940492,0.256777,0.699357
-2.029091,1.88575,0.643889
0.900271,1.111319,-0.357153
0.68,0.830052,-0.357153
0.688762,-0.259085,-0.357153
0.808277,1.052078,-0.325203
1.459141,-0.259085,-0.357153
0.051978,0.878655,-0.217412
-0.183089,1.187992,-0.334564
-1.496816,1.115953,0.86228
-0.783925,-6.798208,-0.357153
0.342104,-0.551137,0.018301
0.102217,0.730486,-0.000834
0.687714,1.722638,-0.25889
1.070121,0.363692,-0.346503
-2.48541,0.626632,0.088983
1.209434,-1.969414,-0.357153
-4.510526,1.790772,7.789731
-0.002481,1.619001,-0.346503
1.378643,0.631138,-0.346503
-0.557085,2.069478,-0.357153
-0.911526,-0.259085,-0.238976
0.957019,1.782091,0.940155
0.972593,1.208466,-0.357153
0.727056,1.100844,-0.346503
-0.530499,-1.969414,-0.30536
-0.422404,0.587625,-0.343471
1.247968,0.542918,-0.357153
-1.508406,0.587625,-0.330528
1.232022,0.357126,-0.357153
1.373101,0.357126,-0.297289
0.971205,0.357126,-0.357153
1.630561,0.357126,-0.357153
1.528066,0.357126,-0.357153
1.068681,0.357126,-0.306649
0.779383,-0.259085,-0.357153
1.597197,-0.259085,-0.357153
1.532152,-0.259085,-0.357153
1.222718,-1.233709,-0.357153
0.858836,-1.969414,-0.336856
-0.098699,-0.189447,-0.065474
-1.2879,-0.951275,-0.025264
0.791112,-0.614254,-0.357153
1.168553,-0.614254,-0.357153
-0.264074,-0.614254,-0.302424
-0.548593,-2.636097,-0.357153
-4.370024,-0.300266,0.430534
1.217262,-0.259085,-0.357153
0.791699,-0.294307,0.137948
0.48783,-0.259085,0.299418
-0.265185,-0.259085,-0.357153
1.546353,-0.259085,-0.343471
0.839484,-0.259085,0.029396
0.037596,-0.259085,0.064735
-0.021777,-0.259085,-0.295809
-3.255098,-2.00423,0.539087
0.945919,-0.259085,-0.343471
-0.135827,-0.259085,-0.316106
1.066703,-0.259085,-0.357153
0.780328,-0.259085,-0.357153
0.83833,-0.259085,-0.357153
0.167991,-0.259085,-0.357153
0.743952,-0.303327,-0.357153
1.014944,-0.391886,-0.357153
0.582523,-0.023318,-0.135718
0.398451,-0.344213,-0.244905
1.904854,-0.387331,-0.321438
0.00351,-0.133244,-0.368005
0.368419,-0.111036,-0.239803
-0.369377,-0.048116,0.398708
-0.422945,-1.06911,-0.142861
-5.386286,0.227179,4.058955
-0.842702,-0.099933,-0.164275
-0.000433,-0.15175,0.19995
-0.399219,-0.228548,-0.047113
0.342045,-0.019246,-0.151506
1.20922,-0.107335,-0.061226
0.118987,-0.284038,-0.059511
0.248895,-0.03315,-0.122453
0.397086,0.068562,-0.040818
-0.062934,-0.314603,-0.382664
0.961326,-0.377328,-0.122453
0.183264,-0.078976,-0.063485
