@relation PcaEdb

@attribute WeekendActivity numeric
@attribute MesseginActivity numeric
@attribute QuestionActivity numeric
@attribute HomeworkActivity numeric
@attribute TestingActivity numeric

@data
-0.42778,0.280729,-0.173662,-0.152002,1.01554
-1.313258,0.602575,0.08911,-0.152002,0.863977
0.227555,0.602575,-0.173662,-0.152002,-0.146238
-1.706749,-2.368421,0.000254,-0.152002,0.592735
0.111859,0.602575,-0.06895,-0.152002,-0.02453
0.351992,0.808619,-0.173662,-0.152002,-0.249085
0.215359,-0.111036,-0.046689,-0.152002,-0.135163
-0.514094,-0.844034,-0.126827,-0.152002,0.117752
-2.226715,-0.290906,-0.044692,-0.152002,1.379598
-1.134836,0.315404,0.108436,-0.152002,1.269443
0.358899,0.350093,-0.186588,-0.152002,-0.241321
0.251998,0.199934,-0.186588,-0.152002,-0.234662
0.02008,0.296405,-0.265661,-0.152002,-0.165076
-1.086196,-0.037333,-0.036361,-0.152002,0.176284
0.208013,0.199934,-0.186588,-0.152002,-0.052631
-1.102858,-0.041198,-0.186588,-0.152002,0.270406
-0.951712,0.61481,-0.260363,-0.152002,0.329155
-0.022291,0.417142,-0.265661,-0.152002,0.066895
0.09579,0.312862,-0.265661,-0.152002,-0.192543
-0.121928,-0.044759,-0.265661,-0.152002,0.01495
0.240631,-0.015395,-0.265661,-0.152002,-0.113071
0.499612,-0.111036,-0.009897,-0.152002,-0.27312
0.046413,1.01657,-0.260363,-0.152002,0.019642
0.540451,-0.014824,-0.265661,-0.152002,-0.302915
0.41665,0.312862,-0.265661,-0.152002,-0.223623
0.338522,0.256619,-0.265661,-0.152002,-0.232993
0.222655,-0.535977,-0.249377,-0.152002,-0.183304
0.465153,0.153054,-0.261859,-0.152002,-0.287747
0.654311,0.153054,-0.261859,-0.152002,-0.327358
0.238333,-0.263252,-0.261859,-0.152002,-0.22487
0.076221,0.153054,-0.261859,-0.152002,-0.114211
0.602955,0.153054,-0.261859,-0.152002,-0.298499
0.251122,-0.263252,-0.261859,-0.152002,-0.228662
-0.437031,0.469273,-0.046689,0.14955,0.100842
0.466263,0.00332,-0.186588,-0.152002,-0.283956
0.13397,0.312862,-0.265661,-0.152002,-0.211911
0.533125,-0.111036,-0.265661,-0.152002,-0.279648
0.383416,-0.111036,-0.257209,-0.152002,-0.258696
0.39406,0.153054,-0.261859,-0.152002,-0.268788
-2.96606,0.153054,-0.267181,0.752653,2.002951
-0.83164,0.110047,0.018832,0.752653,0.724061
-0.86961,0.808179,0.064386,0.903428,0.699547
0.38583,0.476279,-0.046689,0.451101,-0.176873
0.291429,0.355737,-0.046689,-0.152002,-0.12854
0.295184,-0.111036,-0.173662,-0.152002,-0.136747
0.346404,0.45089,-0.046689,-0.152002,-0.201854
0.625346,-0.111036,-0.173662,-0.152002,-0.321874
0.022277,0.376566,-0.046689,0.903428,-0.03693
-0.078467,0.509139,-0.046689,0.451101,-0.025008
-0.641493,0.478265,0.034131,0.903428,0.67394
-0.335968,-2.913518,-0.046689,-0.152002,0.13084
0.146616,-0.236202,-0.046689,-0.001226,-0.030041
0.043807,0.313066,0.020956,-0.152002,-0.026158
0.294735,0.738273,-0.046689,-0.152002,-0.198532
0.458623,0.155868,-0.046689,-0.152002,-0.256381
-1.065176,0.268556,-0.046689,0.752653,0.666193
0.518329,-0.844034,-0.09763,-0.152002,-0.246374
-1.933082,0.767474,0.428614,0.300325,3.096614
-0.001063,0.693858,-0.09763,-0.152002,-0.163792
0.590847,0.270487,-0.09763,-0.152002,-0.296507
-0.238751,0.886919,-0.09763,-0.152002,-0.064366
-0.390654,-0.111036,0.013484,0.300325,0.155213
0.410151,0.763753,-0.040515,-0.152002,0.19831
0.416825,0.517914,-0.09763,-0.152002,-0.268788
0.311596,0.47179,-0.09763,-0.152002,-0.232045
-0.227357,-0.844034,-0.09763,-0.152002,-0.081416
-0.18103,0.251839,-0.264671,-0.152002,-0.120391
0.534843,0.232679,-0.267181,-0.152002,-0.289331
-0.64646,0.251839,-0.267181,-0.152002,0.190011
0.52801,0.153054,-0.267181,-0.152002,-0.264997
0.588472,0.153054,-0.267181,-0.152002,-0.28327
0.416231,0.153054,-0.267181,-0.001226,-0.190456
0.698812,0.153054,-0.267181,-0.152002,-0.329458
0.654886,0.153054,-0.267181,-0.152002,-0.329458
0.458006,0.153054,-0.267181,-0.152002,-0.225218
0.334021,-0.111036,-0.261859,-0.152002,-0.253621
0.684513,-0.111036,0.082565,-0.152002,-0.299123
0.656636,-0.111036,0.082565,-0.152002,-0.319666
0.524022,-0.528733,0.082565,-0.152002,-0.242582
0.368072,-0.844034,0.726105,-0.152002,-0.256669
-0.0423,-0.081192,0.162803,0.14955,-0.035892
-0.551957,-0.407689,0.164833,1.054204,0.055475
0.339048,-0.263252,0.082565,0.300325,-0.257413
0.500808,-0.263252,0.082565,-0.152002,-0.248582
-0.113174,-0.263252,0.252866,-0.152002,-0.096091
-0.235111,-1.129756,0.082565,-0.152002,0.055339
-1.872868,-0.128686,0.209795,-0.001226,0.541187
0.521684,-0.111036,0.082565,0.14955,-0.275748
0.3393,-0.126131,0.17409,-0.152002,-0.111478
0.20907,-0.111036,0.184835,-0.152002,-0.082274
-0.113651,-0.111036,0.082565,-0.152002,-0.127867
0.662723,-0.111036,0.726105,-0.152002,-0.308398
0.359779,-0.111036,0.165812,-0.152002,-0.166987
0.016113,-0.111036,0.172499,-0.152002,-0.05966
-0.009333,-0.111036,0.252866,-0.152002,-0.139782
-1.395042,-0.858956,0.223174,0.752653,0.471565
0.405394,-0.111036,0.726105,-0.152002,-0.260689
-0.058212,-0.111036,0.303769,-0.152002,-0.087776
0.457158,-0.111036,-0.267181,0.14955,-0.274164
0.334426,-0.111036,-0.267181,-0.152002,-0.242246
0.359284,-0.111036,-0.267181,0.14955,-0.257413
0.071996,-0.111036,-0.267181,0.14955,-0.17716
0.318837,-0.129997,-0.267181,0.14955,-0.243829
0.434976,-0.167951,-0.267181,0.14955,-0.266581
0.037582,-0.074394,0.141687,-0.101841,-0.082132
0.128074,-0.166554,1.384296,-0.141868,-0.46339
1.346866,-0.085128,0.472289,-0.380004,-0.170401
0.04212,-0.051817,0.625422,0.550597,-0.23266
0.461821,-0.018506,0.879435,0.284144,-0.394266
-0.964485,-0.188762,1.356416,-0.121601,0.810312
-0.108447,-0.028134,0.944579,0.234295,-0.199725
-0.384735,0.717406,3.666738,1.163628,6.886709
-0.697408,-0.111036,1.925151,0.324024,0.082285
-0.038086,-0.266487,1.220138,-0.385071,0.046138
-0.731902,-0.334031,2.095597,2.530089,-0.030694
0.566818,-0.283883,-0.579828,-0.268536,-0.44702
0.047112,-0.140646,-0.346983,1.685255,-0.446741
