@relation final-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S94.0-C1-Lfirst-last-weka.filters.unsupervised.instance.RemoveWithValues-S110.0-C1-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_assignment numeric
@attribute n_assignment_a numeric
@attribute n_assignment_s numeric
@attribute n_messages numeric
@attribute n_posts numeric
@attribute n_read numeric
@attribute n_quiz numeric
@attribute n_quiz_a numeric
@attribute n_quiz_s numeric
@attribute n_messages_ap numeric
@attribute total_time_assignment numeric
@attribute total_time_quiz numeric
@attribute total_time_forum numeric
@attribute nota numeric

@data
0,0,0,0,0,4,0,0,0,0,0,126,688,0
0,0,0,0,0,4,0,0,0,0,0,203,961,3.8
2,0,2,0,0,0,1,1,0,0,0,333,527,8
0,0,0,0,2,4,0,0,0,0,0,0,478,3.6
2,0,2,0,0,4,2,2,0,0,120,497,262,9.5
1,0,1,0,0,4,5,3,2,0,7,2338,394,3.25
2,0,2,0,4,4,5,5,0,0,544,2090,4370,10
1,0,1,0,0,4,1,0,1,0,0,523,182,0
2,0,2,0,0,4,3,3,0,0,21,1633,66,5.5
2,0,2,0,0,4,3,1,2,0,65,1248,308,6.5
2,0,2,0,1,4,4,4,0,0,120,951,0,8
1,0,1,0,0,4,1,0,1,0,217,717,0,3.2
2,0,2,0,0,4,3,3,0,0,178,1071,504,5.5
0,0,0,0,6,4,9,6,3,0,0,1774,5518,2.9
2,0,2,0,0,4,13,13,0,0,605,2754,667,0
2,0,2,0,0,4,4,4,0,0,266,1543,585,2.9
2,0,2,0,0,4,8,7,1,0,120,1747,125,7.5
2,0,2,0,0,4,2,2,0,0,26,768,0,2.6
2,0,2,0,1,4,15,15,0,0,15,2497,2822,3.8
2,0,2,0,0,4,2,0,2,0,120,1330,0,0
2,0,2,0,0,4,5,4,1,0,9,1059,178,5.5
0,0,0,0,1,4,0,0,0,0,0,126,2821,2.75
2,0,2,0,0,4,3,3,0,0,0,1096,665,6
1,0,1,0,0,4,7,7,0,0,0,1473,186,6.5
2,0,2,0,0,4,16,16,0,0,185,2428,63,10
2,0,2,0,0,4,3,3,0,0,261,932,1059,8
2,0,2,0,0,4,6,6,0,0,73,1394,445,6
0,0,0,0,1,4,0,0,0,0,0,8,466,2.4
2,0,2,0,0,4,6,6,0,0,120,1324,496,8.5
2,0,2,0,0,4,3,3,0,0,9,0,0,3.3
2,0,2,0,1,4,18,18,0,0,121,4148,504,9
1,0,1,0,0,4,4,3,1,0,0,938,2374,0
0,0,0,0,0,4,0,0,0,0,120,358,2748,5
2,0,2,0,0,4,1,0,1,0,182,274,925,5
1,0,1,0,0,4,2,1,1,0,601,1024,1171,0
2,0,2,0,0,4,3,2,1,0,120,1026,515,6
2,0,2,0,0,4,3,3,0,0,5,925,1301,4
2,0,2,0,0,4,4,3,1,0,29,698,136,6.5
2,0,2,0,0,4,10,10,0,0,120,1992,23,8
2,0,2,0,0,4,3,3,0,0,120,854,422,6.5
2,0,2,0,0,4,0,0,0,0,120,316,333,5
1,0,1,0,0,4,3,1,2,0,0,610,540,6.5
2,0,2,0,0,4,10,10,0,0,52,2837,100,8.5
2,0,2,0,0,4,7,7,0,0,120,1404,33,8.5
0,0,0,0,0,4,4,4,0,0,9,1346,198,4.4
2,0,2,0,0,4,1,0,1,0,120,786,0,5
2,0,2,0,2,4,5,5,0,0,240,1353,1608,0
2,0,2,0,0,4,12,11,1,0,120,2233,699,8.5
2,0,2,0,0,4,5,5,0,0,240,1262,524,0
0,0,0,0,0,4,6,4,2,0,0,733,284,0
2,0,2,0,0,4,14,14,0,0,120,2245,255,9.5
1,0,1,0,0,4,3,3,0,0,0,990,1045,0
2,0,2,0,1,4,12,12,0,0,9,1999,1179,5.5
1,0,1,0,0,4,1,0,1,0,120,852,0,0
0,0,0,0,0,4,0,0,0,0,0,208,120,2.4
1,0,1,0,0,4,3,3,0,0,66,980,692,6.5
1,0,1,0,0,4,3,3,0,0,0,998,29,4
1,0,1,0,0,4,3,2,1,0,0,1231,1701,0
2,0,2,0,0,4,3,3,0,0,120,1256,985,8
0,0,0,0,0,4,0,0,0,0,0,131,21,0
1,0,1,0,0,4,6,6,0,0,248,1408,81,5.5
2,0,2,0,0,4,3,3,0,0,120,1245,327,7
1,0,1,0,0,4,13,12,1,0,240,1860,375,3.5
1,0,1,0,0,4,2,2,0,0,0,643,148,5.5
1,0,1,0,0,4,2,1,1,0,0,867,0,5.5
1,0,1,0,0,4,6,6,0,0,0,1064,87,6
