@relation PcaEdbV2

@attribute WeekendActivity numeric
@attribute MesseginActivity numeric
@attribute TestingActivity numeric

@data
-1.425934,0.935764,3.22406
-4.377528,2.008583,2.689576
0.758518,2.008583,-0.487398
-5.689165,-7.894736,-0.475458
0.372864,2.008583,0.6026
1.173307,2.695398,-0.493163
0.717862,-0.370121,-0.510219
-1.713646,-2.813448,-0.30046
-7.422383,-0.969688,1.874777
-3.782786,1.051348,4.54373
1.19633,1.166975,-0.487398
0.839994,0.666446,-0.510219
0.066932,0.988016,-0.472183
-3.620654,-0.124442,-0.490673
0.693376,0.666446,-0.495005
-3.676192,-0.137328,-0.502612
-3.172373,2.049367,-0.392017
-0.074304,1.390475,-0.502612
0.3193,1.042872,-0.495005
-0.406428,-0.149196,-0.261738
0.802103,-0.051318,-0.487398
1.665372,-0.370121,-0.422585
0.154709,3.388566,0.156114
1.801504,-0.049413,-0.510219
1.388832,1.042872,-0.510219
1.128408,0.855397,-0.470341
0.742184,-1.786591,-0.432034
1.550509,0.51018,-0.510219
2.181037,0.51018,-0.502612
0.794442,-0.877506,-0.510219
0.254071,0.51018,-0.495005
2.009851,0.51018,-0.510219
0.837073,-0.877506,-0.510219
-1.45677,1.564244,-0.510219
1.55421,0.011068,-0.510219
0.446566,1.042872,-0.510219
1.777084,-0.370121,-0.502612
1.278053,-0.370121,-0.45158
1.313534,0.51018,-0.510219
-9.886868,0.51018,1.311699
-2.772132,0.366824,0.999082
-2.898701,2.693929,0.919841
1.286101,1.587598,-0.510219
0.971429,1.185789,-0.510219
0.983946,-0.370121,-0.510219
1.154681,1.502968,-0.464576
2.084487,-0.370121,-0.510219
0.074255,1.255221,-0.310589
-0.261556,1.697131,-0.477948
-2.138309,1.594218,1.231828
-1.119893,-9.711726,-0.510219
0.48872,-0.787339,0.026144
0.146024,1.043552,-0.001192
0.982449,2.460911,-0.369843
1.528744,0.51956,-0.495005
-3.550586,0.895188,0.127118
1.727763,-2.813448,-0.510219
-6.443608,2.558246,11.128187
-0.003545,2.312859,-0.495005
1.96949,0.901625,-0.495005
-0.795836,2.956397,-0.510219
-1.30218,-0.370121,-0.341395
1.36717,2.545845,1.343078
1.389418,1.72638,-0.510219
1.038652,1.572634,-0.495005
-0.757856,-2.813448,-0.436228
-0.603434,0.839464,-0.490673
1.782811,0.775597,-0.510219
-2.154866,0.839464,-0.472183
1.760032,0.51018,-0.510219
1.961573,0.51018,-0.424698
1.387436,0.51018,-0.510219
2.329373,0.51018,-0.510219
2.182952,0.51018,-0.510219
1.526687,0.51018,-0.43807
1.113404,-0.370121,-0.510219
2.28171,-0.370121,-0.510219
2.188788,-0.370121,-0.510219
1.74674,-1.762442,-0.510219
1.226908,-2.813448,-0.481223
-0.140999,-0.270639,-0.093535
-1.839857,-1.358964,-0.036091
1.13016,-0.877506,-0.510219
1.669361,-0.877506,-0.510219
-0.377248,-0.877506,-0.432034
-0.783704,-3.765853,-0.510219
-6.242892,-0.428952,0.615048
1.738946,-0.370121,-0.510219
1.130999,-0.420438,0.197069
0.6969,-0.370121,0.42774
-0.378836,-0.370121,-0.510219
2.209076,-0.370121,-0.490673
1.199263,-0.370121,0.041994
0.053709,-0.370121,0.092478
-0.03111,-0.370121,-0.422585
-4.65014,-2.863186,0.770124
1.351313,-0.370121,-0.490673
-0.194039,-0.370121,-0.45158
1.523861,-0.370121,-0.510219
1.114755,-0.370121,-0.510219
1.197614,-0.370121,-0.510219
0.239987,-0.370121,-0.510219
1.062789,-0.433324,-0.510219
1.44992,-0.559837,-0.510219
0.894812,-0.370121,-0.510219
1.42304,-0.370121,-0.510219
1.924095,-0.425639,-0.510219
0.350999,-0.370121,-0.490673
0.5189,-0.370121,-0.510219
-1.026048,-0.370121,2.098461
-0.542237,-2.813448,-0.510219
-5.49621,1.195677,11.597014
-1.452934,-0.370121,-0.180522
-0.04328,-0.370121,0.302955
-0.739295,-0.58602,-0.471127
0.977272,-0.481158,-0.270546
1.570415,-0.370121,-0.510219
0.290213,-0.378717,-0.247963
0.345688,-0.414377,-0.510219
0.673027,0.13185,-0.510219
-0.086211,-0.370121,-0.510219
1.848704,-0.877506,-0.510219
0.446985,-0.877506,-0.423232
